-109.3758, -19.4992, -22.6773 | -1.377, -2.362, 7.9458 | 12.9543, 10.513, 12.9281
-109.3758, -19.4992, -22.6773 | 16.8827, -12.861, 1.4149 | 12.9543, 10.513, 12.9281
-146.0736, 40.3311, -179.2765 | 16.8827, -12.861, 1.4149 | 12.9543, 10.513, 12.9281
-146.0736, 40.3311, -179.2765 | 16.8827, -12.861, 1.4149 | 12.9465, 10.5274, 12.9268
-146.0736, 40.3311, -179.2765 | 16.8827, -12.861, 1.4149 | 12.9465, 10.5274, 12.9268
-146.0736, 40.3311, -179.2765 | -4.8423, -7.9851, 2.6518 | 12.9465, 10.5274, 12.9268
-169.5324, 49.6918, 112.602 | -4.8423, -7.9851, 2.6518 | 12.9465, 10.5274, 12.9268
-169.5324, 49.6918, 112.602 | -4.8423, -7.9851, 2.6518 | 12.9465, 10.5274, 12.9268
-169.5324, 49.6918, 112.602 | -4.8423, -7.9851, 2.6518 | 12.9465, 10.5274, 12.9268
-169.5324, 49.6918, 112.602 | -10.9018, -0.2225, 16.3833 | 12.9388, 10.5331, 12.9239
40.5185, -48.4508, -24.4703 | -10.9018, -0.2225, 16.3833 | 12.9388, 10.5331, 12.9239
40.5185, -48.4508, -24.4703 | -10.9018, -0.2225, 16.3833 | 12.9388, 10.5331, 12.9239
40.5185, -48.4508, -24.4703 | -10.9018, -0.2225, 16.3833 | 12.9297, 10.5428, 12.9153
40.5185, -48.4508, -24.4703 | 1.2922, -2.0873, 1.5171 | 12.9297, 10.5428, 12.9153
22.7738, 18.7057, -18.4389 | 1.2922, -2.0873, 1.5171 | 12.9297, 10.5428, 12.9153
22.7738, 18.7057, -18.4389 | 1.2922, -2.0873, 1.5171 | 12.9297, 10.5428, 12.9153
22.7738, 18.7057, -18.4389 | 1.2922, -2.0873, 1.5171 | 12.9195, 10.5464, 12.9261
22.7738, 18.7057, -18.4389 | 12.5758, -13.7135, -0.85452 | 12.9195, 10.5464, 12.9261
22.7738, 18.7057, -18.4389 | 12.5758, -13.7135, -0.85452 | 12.9195, 10.5464, 12.9261
-103.666, 23.9074, -178.0346 | 12.5758, -13.7135, -0.85452 | 12.9195, 10.5464, 12.9261
-103.666, 23.9074, -178.0346 | 12.5758, -13.7135, -0.85452 | 12.9198, 10.549, 12.9393
-103.666, 23.9074, -178.0346 | 12.5758, -13.7135, -0.85452 | 12.9198, 10.549, 12.9393
-103.666, 23.9074, -178.0346 | -8.1407, -5.8566, 0.45175 | 12.9198, 10.549, 12.9393
-149.3137, 17.7093, 130.9856 | -8.1407, -5.8566, 0.45175 | 12.9198, 10.549, 12.9393
-149.3137, 17.7093, 130.9856 | -8.1407, -5.8566, 0.45175 | 12.9079, 10.5416, 12.973
-149.3137, 17.7093, 130.9856 | -11.5105, -2.955, 11.0531 | 12.9079, 10.5416, 12.973
-149.3137, 17.7093, 130.9856 | -11.5105, -2.955, 11.0531 | 12.9079, 10.5416, 12.973
27.362, -46.4419, -15.0915 | -11.5105, -2.955, 11.0531 | 12.9079, 10.5416, 12.973
27.362, -46.4419, -15.0915 | -11.5105, -2.955, 11.0531 | 12.9036, 10.5376, 12.9646
27.362, -46.4419, -15.0915 | -11.5105, -2.955, 11.0531 | 12.9036, 10.5376, 12.9646
